date,massif,secteur,orientation,lat_depart,long_depart,pente_max,avg_lat,avg_long,avg_alt,activity
07 mai 2012 ,Bornes - Aravis,Borne-Fier ,W,45.910723,6.46670,35,,,,Néant
07 mai 2012 ,Ubaye - Parpaillon - Alpes Cozie S,Embrunais ,N,44.54781,6.62473,25,,,,RAS
07 mai 2012 ,Bornes - Aravis,Borne-Fier ,NW,45.91073,6.467213,35,,,,"Rien depuis la chute de la veille, sinon pas mal d'anciennes plaques dans les faces Nord  "
07 mai 2012 ,Lauzière - Cheval Noir,,W,,,35,,,,RAS
07 mai 2012 ,Bornes - Aravis,Borne-Fier ,NE,45.8467,06.3151,35,,,,aucune
07 mai 2012 ,Belledonne,Grésivaudan ,W,45.2505,5.9930,35,,,,Des boules de surface + quelques grosses boules tombées hier sans doute sinon ras ce jour
07 mai 2012 ,Mercantour - Alpes Maritimes Italiennes,Tinée ,N,44.1933,7.1322,35,44.17637692405894,7.135760639443539,2289.128424363177,Ras à part de vieilles coulées.
06 mai 2012 ,Belledonne,Grésivaudan ,W,45.12585,5.87897,,,,,RAS mais toutes les pentes >35°  n'inspirent aucune confiance
04 mai 2012 ,Alpes Bernoises W,Oberland Bernois ,N,46.54746,7.76163,30,,,,"RAS si on est pas trop tard, l'enneigement est bon."
03 mai 2012 ,Queyras - Alpes Cozie N,Queyras ,NE,44.65054,6.79287,40,,,,neant
04 mai 2012 ,Ubaye - Parpaillon - Alpes Cozie S,Embrunais ,N,44.48473,6.55066,35,44.46073121807226,6.546364778313257,2216.5542168674697,neant
04 mai 2012 ,Bornes - Aravis,Borne-Fier ,W,45.910723,6.46670,35,,,,"RAS, vieille coulée dans les pentes plus raides du sommet"
04 mai 2012 ,Ecrins,"Haute Durance, Briançonnais ",NW,44.78792,6.460218,45,,,,"RAS, les versants Nord ont déjà commencé à purger."
04 mai 2012 ,Ecrins,Champsaur ,N,44.6227,06.2279,50,,,,RAS sur tout le secteur                                                                                 
