date,massif,secteur,orientation,lat_depart,long_depart,pente_max,avg_lat,avg_long,avg_alt,activity
18 janvier 2015 ,Ubaye - Parpaillon - Alpes Cozie S,Embrunais ,NE,44.5008,6.5517,30,,,,"RAS, Bonne poudreuse tombée la veille avec un risque 3, donc nous n'avons pas pris de risque. "
08 avril 2015 ,Ecrins,"Haute Durance, Briançonnais ",N,44.9874,6.4816,45,,,,RAS. 
09 avril 2015 ,Beaufortain,Vallée de l'Arve ,N,45.7921,06.7157,40,45.79163392480705,6.716211143025391,1237.7333333333333,"RAS aujourd'hui, mais quelques purges en rive gauche qui datent certainement d'hier."
05 avril 2015 ,Queyras - Alpes Cozie N,Queyras ,SE,44.77603,6.76762,35,,,,RAS
04 avril 2015 ,Queyras - Alpes Cozie N,Queyras ,NW,44.71893,6.90379,35,,,,RAS
09 avril 2015 ,Massif Central,,E,45.54196,2.816587,32,,,,RAS
09 avril 2015 ,Ubaye - Parpaillon - Alpes Cozie S,Ubaye ,SW,44.45144,6.844782,45,,,,RAS
09 avril 2015 ,Grandes Rousses - Arves,Maurienne ,SE,45.1212,06.4173,30,,,,RAS ce jour.
09 avril 2015 ,Ecrins,Oisans ,N,44.93258,6.29254,50,,,,Rien.
09 avril 2015 ,Ubaye - Parpaillon - Alpes Cozie S,Embrunais ,N,44.54781,6.62473,30,,,,RAS
09 avril 2015 ,Cerces - Thabor - Mont Cenis,,SE,,,25,,,,RAS
09 avril 2015 ,Navarre - Béarn,,T,42.81510,-0.41805,25,42.81465103000001,-0.45012133400000004,1961.1893359619994,RAS
04 avril 2015 ,Grand Paradis,Val d'Aoste ,NW,45.5247,7.2004,,,,,rien...
08 avril 2015 ,Cerces - Thabor - Mont Cenis,"Haute Durance, Briançonnais ",SE,44.9400,06.5887,37,,,,RAS
02 avril 2015 ,Ubaye - Parpaillon - Alpes Cozie S,Embrunais ,E,44.48473,6.55066,37,,,,Ras
29 mars 2015 ,Ubaye - Parpaillon - Alpes Cozie S,Embrunais ,E,44.48473,6.55066,37,,,,ras
05 avril 2015 ,Ubaye - Parpaillon - Alpes Cozie S,Ubaye ,NE,44.45144,6.844782,35,,,,rien vu ce jour
08 avril 2015 ,Chartreuse,Chartreuse ,E,45.31378,5.77518,,45.31710050909093,5.767580699999998,1414.0754545454547, rien vu 
07 avril 2015 ,Beaufortain,Beaufortain ,T,45.6912,06.6904,45,,,,"RAS, tout avait l'air très stable"
06 avril 2015 ,Vanoise,Tarentaise ,T,45.3817,06.7153,50,,,,ras
07 avril 2015 ,Ecrins,"Haute Durance, Briançonnais ",NE,44.8305,6.4044,50,,,,Rien observé
08 avril 2015 ,Belledonne,Grésivaudan ,NW,45.14037,5.88762,40,,,,ras
08 avril 2015 ,Queyras - Alpes Cozie N,Queyras ,NW,44.67078,6.73274,,,,,RAS
08 avril 2015 ,Belledonne,Grésivaudan ,T,45.1870,5.8994,40,45.17358119772075,5.941328950427351,2010.2619943019959,RAS
08 avril 2015 ,Lauzière - Cheval Noir,Tarentaise ,N,45.47123,6.41270,50,,,,RAS
08 avril 2015 ,Mont Blanc,Vallée de l'Arve ,N,45.8231,06.7351,45,,,,vieille plaque et avalanche rien ce jour
05 avril 2015 ,Ecrins,Champsaur ,W,44.6227,06.2279,45,,,,néant
07 avril 2015 ,Ecrins,Champsaur ,S,44.6891,06.1663,30,,,,RAS
06 avril 2015 ,Ecrins,Champsaur ,T,44.6891,06.1663,40,,,,néant
06 avril 2015 ,Mercantour - Alpes Maritimes Italiennes,Vésubie ,T,44.07392,7.400557,45,,,,RAS sauf le lundi dans les pentes Est sous le Gélas où le vent a engendré des accumulations importantes. Une plaque est partie à notre droite alors qu'on montait sous le couloir : nous avons renoncé au sommet et nous sommes rabattus sur le Balcon.
07 avril 2015 ,Alpes Grées S,Maurienne ,NW,45.3290,07.0110,40,,,,"La couche de poudre récente part très facilementen toutes orientations dès qu'il y a un peu de pente. Lundi en journée, belle purge en S de l'Albaron, dans la directe."
07 avril 2015 ,Queyras - Alpes Cozie N,Queyras ,N,44.7569,06.9926,44,,,,RAS
07 avril 2015 ,Alpes Grées N,Tarentaise ,NW,45.61515,6.86285,35,,,,"rien dans la matinéee, mais nombreuses coulée sous la pointe de l'averne O-SO"
07 avril 2015 ,Mercantour - Alpes Maritimes Italiennes,Haut-Var ,SE,44.24483,6.757117,35,,,,"RAS, de minis coulées ici et là"
06 avril 2015 ,Vanoise,Tarentaise ,N,45.3746,06.7178,35,,,,Néant
07 avril 2015 ,Queyras - Alpes Cozie N,Queyras ,W,44.7569,06.9926,35,,,,"Rien vu, rien entendu mais il faut se gaffer, il y a de la quantité! "
07 avril 2015 ,Beaufortain,Tarentaise ,N,45.5805,06.6526,40,,,,"RAS sur l'itinéraire. Grosse plaque en face S du Crêt du Rey partie hier ou avant hier (accidentel ou naturel ?), mais maintenant c'est tout bon, bien lisse et bien tentant..."
05 avril 2015 ,Cerces - Thabor - Mont Cenis,"Haute Durance, Briançonnais ",N,45.0181,06.4663,50,,,,ras
05 avril 2015 ,Queyras - Alpes Cozie N,Queyras ,NW,44.71893,6.90379,35,44.68980554129105,6.920165198884019,2427.7887633347937,"Ras, aucune activité avalancheuse observé ce jour, 20 cm de poudre tombé."
06 avril 2015 ,Ubaye - Parpaillon - Alpes Cozie S,Embrunais ,N,44.54781,6.62473,37,,,,RAS
07 avril 2015 ,Vanoise,Tarentaise ,W,45.3811,06.7352,30,,,,ras a par du vent sur les sommet
07 avril 2015 ,Belledonne,Grésivaudan ,N,45.24319,5.979609,50,,,,coulées en cours à partir de 13h dans les faces exposées au soleil ; sinon rien. 
