date,massif,secteur,orientation,lat_depart,long_depart,pente_max,avg_lat,avg_long,avg_alt,activity
20 mai 2009 ,Grand Paradis,Val d'Aoste ,W,45.5247,7.2004,35,45.51545643145526,7.226753943029607,2454.3625,aucune.
20 mai 2009 ,Mont Blanc,Vallée de l'Arve ,NW,45.9018,06.8606,35,,,,RAS
20 mai 2009 ,Andorre - Ariège,,NW,42.65075,1.70305,40,,,, Aucune coulée observée que des restes d'anciennes avalanches.
20 mai 2009 ,Vanoise,Tarentaise ,NW,45.5730,06.8336,40,45.53867874274906,6.8467391042518395,2712.983333333333,RAS
20 mai 2009 ,Mercantour - Alpes Maritimes Italiennes,Vésubie ,T,44.09194,7.35611,50,,,,ras à par quelques vielles coulées                                                                                                                                               
20 mai 2009 ,Belledonne,Oisans ,E,45.22446,6.139190,45,,,,RAS
20 mai 2009 ,Ecrins,Champsaur ,S,44.6891,06.1663,30,,,,ras 
19 mai 2009 ,Grandes Rousses - Arves,Maurienne Oisans ,NE,45.2276,06.2029,30,45.186756295870175,6.169186608554578,2649.2741522806805,RAS
19 mai 2009 ,Navarre - Béarn,,NW,42.97709,-0.74209,30,,,,nulle
19 mai 2009 ,Alpes Grées S,Maurienne ,N,45.3290,07.0110,45,,,,RAS mais il en reste encore à descendre de la Grala.
19 mai 2009 ,Ecrins,Oisans ,NW,44.93258,6.29254,45,,,,ras
17 mai 2009 ,Alpes Grées S,Maurienne ,NE,45.3738,07.0528,50,,,,RAS
16 mai 2009 ,Préalpes de Digne,,W,44.31917,6.4225,35,,,,"RAS Anciennes corniches de Roche close partie les semaines précedentes, stabilité de la corniche mediocre"
17 mai 2009 ,Luchon - Posets - Maladeta,,N,42.67757,0.650191,30,,,,"RAS, aucune coulée de fonte récente observée, manteau neigeu stable partout. Bonnes conditions."
17 mai 2009 ,Mercantour - Alpes Maritimes Italiennes,Vésubie ,T,44.11325,7.289471,35,,,,aucune.
17 mai 2009 ,Andorre - Ariège,,T,42.53207,1.700395,30,,,,néant
16 mai 2009 ,Ecrins,Oisans ,N,45.01769,6.04073,35,,,,"une coulée de neige humide versant Sud. RAS par ailleurs, c'est bien purgé. Ca chauffe vite."
17 mai 2009 ,Mont Blanc,Tarentaise ,SW,45.74266,6.78015,35,45.75971866508485,6.7882030909264515,2484.5833333333335,Néant
17 mai 2009 ,Vanoise,Tarentaise ,N,45.3811,06.7352,50,,,,ras
17 mai 2009 ,Belledonne,Maurienne Oisans ,NE,45.23974,6.17532,45,,,,RAS. Sous couche pourrie et très humide. Montée des couloirs en bonnes conditions.
17 mai 2009 ,Belledonne,Maurienne Oisans ,T,45.23974,6.17532,40,45.24738696349793,6.138490551831587,1500.4903846153845,RAS
17 mai 2009 ,Alpes Grées S,Maurienne ,W,45.3290,07.0110,30,,,,"RAS neige dure, très bon regel."
17 mai 2009 ,Vanoise,Tarentaise ,N,45.3811,06.7352,50,,,,RAS
17 mai 2009 ,Mercantour - Alpes Maritimes Italiennes,Vésubie ,SW,44.09194,7.35611,40,,,,ras                                                                                          .
17 mai 2009 ,Cerdagne - Capcir - Conflent,,T,42.5438,1.73593,35,,,,RAS
17 mai 2009 ,Belledonne,Grésivaudan ,NW,45.2620,6.0481,45,,,,Aucune activité constatée ce jour
17 mai 2009 ,Alpes Grées N,Tarentaise ,W,45.4497,07.0098,30,,,,RAS                                                                                                                                                                                                                                                                                                                        
17 mai 2009 ,Vanoise,Tarentaise ,T,45.5730,06.8336,45,,,,ras
17 mai 2009 ,Vanoise,Maurienne ,T,45.2332,06.7421,40,,,,Ras. De grosses coulées déjà tombées dans le vallon de la Fournache.
16 mai 2009 ,Vanoise,Tarentaise ,W,45.3811,06.7352,41,,,,quelques coulées de neige lourde dans les pentes les plus raides mais aucune sur l'itinéraire.
16 mai 2009 ,Grandes Rousses - Arves,Oisans ,T,45.2344,06.1711,30,,,,Aucune
16 mai 2009 ,Alpes Grées S,Maurienne ,W,45.3738,07.0528,45,,,,RAS
16 mai 2009 ,Belledonne,Oisans ,S,45.22446,6.139190,35,45.23145741839991,6.121486546899994,2310.254,RAS
16 mai 2009 ,Alpes Grées N,Tarentaise ,W,45.60083,6.88833,35,,,,aucune 
16 mai 2009 ,Vanoise,Tarentaise ,W,45.2954,06.5861,50,,,,RAS. Des anciennes coulées dans les pentes raides exposées au soleil
14 mai 2009 ,Corse,,T,42.07729,9.147030,50,42.06349077105265,9.13433006403509,2071.7531395614033,RAS
13 mai 2009 ,Haut Giffre - Aiguilles Rouges,Vallée de l'Arve ,E,46.0192,06.9198,35,,,,une corniche qui s'écroule sinon ras
08 mai 2009 ,Ecrins,"Haute Durance, Briançonnais ",SW,44.91645,6.417239,40,,,,"ras, mise à  part des chutes de grosses pierres en quittant le glacier noir"
08 mai 2009 ,Ecrins,"Haute Durance, Briançonnais ",SE,44.91645,6.417239,40,,,,RAS neige de printemps sur tout l'itinéraire (mauvais regel en dessous de 2900m)
12 mai 2009 ,Corse,,T,42.07729,9.147030,50,42.06349077105265,9.13433006403509,2071.7531395614033,Néant.
10 janvier 2009 ,Valais W - Alpes Pennines W,Val d'Aoste ,NE,45.83759,7.183427,30,,,,Aucune - 1 semaine de grand beau et très froid après une grosse chute. Neige poudreuse déposée côté Italien et bien consolidée.
09 mai 2009 ,Grand Paradis,Val d'Aoste ,W,45.5247,7.2004,35,45.51545643145526,7.226753943029607,2454.3625,RAS le matin; ca purge tout l'am sur le versant est de la vallée de valsavarenche...
08 mai 2009 ,Grand Paradis,Val d'Aoste ,W,45.5247,7.2004,35,45.51545643145526,7.226753943029607,2454.3625,RAS
10 mai 2009 ,Corse,,NE,42.22937,9.030804,45,,,,RAS
