date,massif,secteur,orientation,lat_depart,long_depart,pente_max,avg_lat,avg_long,avg_alt,activity
15 avril 2017 ,Mercantour - Alpes Maritimes Italiennes,Val Stura ,N,44.26094,7.046699,30,,,,ras
15 avril 2017 ,Queyras - Alpes Cozie N,Queyras ,T,44.69969,6.86596,35,,,,RAS
17 avril 2017 ,Andorre - Ariège,,T,42.67623,01.45218,40,,,,RAS
16 avril 2017 ,Andorre - Ariège,,N,42.67623,01.45218,30,,,,ras
18 avril 2017 ,Cerces - Thabor - Mont Cenis,"Haute Durance, Briançonnais ",NE,45.0025,6.66083,40,,,,RAS
18 avril 2017 ,Vanoise,Tarentaise ,W,45.3746,06.7178,35,,,,aucune
18 avril 2017 ,Ubaye - Parpaillon - Alpes Cozie S,Ubaye ,T,44.53166,6.70144,45,,,,RAS aujourd'hui.
17 avril 2017 ,Alpes Grées N,Tarentaise ,NW,45.4823,06.9473,45,,,,aucune. 
15 avril 2017 ,Cerces - Thabor - Mont Cenis,Maurienne ,T,45.12068,6.417346,35,,,,rien 
16 avril 2017 ,Cerces - Thabor - Mont Cenis,Maurienne ,N,45.12068,6.417346,45,45.082469841666665,6.455593343333336,2262.504166666666,rien
18 avril 2017 ,Cerces - Thabor - Mont Cenis,Maurienne ,E,45.1704,06.6515,45,,,,RAS. Conditions idéales mais couteaux nécessaires et crampons obligatoires dans le couloir.
18 avril 2017 ,Queyras - Alpes Cozie N,Queyras ,N,44.65054,6.79287,35,,,,RAS
17 avril 2017 ,Grandes Rousses - Arves,Maurienne ,NE,45.1212,06.4173,35,45.073940621428584,6.411478079591836,2413.3162293755104,rien
17 avril 2017 ,Mercantour - Alpes Maritimes Italiennes,Tinée ,T,44.3214,6.8611,35,,,,RAS
14 avril 2017 ,Queyras - Alpes Cozie N,Queyras ,N,44.71893,6.90379,35,,,,RAS
16 avril 2017 ,Ecrins,"Haute Durance, Briançonnais ",S,44.91645,6.417239,45,,,,RAS
12 avril 2017 ,Ecrins,"Haute Durance, Briançonnais ",S,44.8822,6.4431,40,,,,RAS
15 avril 2017 ,Ecrins,"Haute Durance, Briançonnais ",E,45.0108,6.4660,40,,,,RAS
17 avril 2017 ,Mercantour - Alpes Maritimes Italiennes,Vésubie ,E,44.09194,7.35611,45,44.107028087210736,7.37349491565932,2163.7,RAS                                                                                             
17 avril 2017 ,Grand Paradis,Val d'Aoste ,W,45.5247,7.2004,35,45.51545643145526,7.226753943029607,2454.3625,RAS
14 avril 2017 ,Queyras - Alpes Cozie N,Embrunais ,NE,44.62078,6.72157,40,,,,RAS
17 avril 2017 ,Alpes Grées N,Val d'Aoste ,N,45.70332,6.95587,35,,,,RAS
17 avril 2017 ,Mont Blanc,Vallée de l'Arve ,E,45.79597,6.71743,45,,,,ras
