date,massif,secteur,orientation,lat_depart,long_depart,pente_max,avg_lat,avg_long,avg_alt,activity
06 mars 2008 ,Bornes - Aravis,Borne-Fier ,N,45.8518,06.4118,45,,,,ras
06 mars 2008 ,Belledonne,Grésivaudan ,SW,45.24319,5.979609,40,,,,Rien vu descendre aujourd'hui malgré de belles accumulations et une heure tardive de descente
06 mars 2008 ,Mercantour - Alpes Maritimes Italiennes,Ubaye ,T,44.31188,6.739082,35,,,,rien vu du tout a part des tornades de neige :-)
06 mars 2008 ,Vanoise,Tarentaise ,NW,45.3746,06.7178,30,,,,Ras
13 janvier 2008 ,Chartreuse,Chartreuse ,E,45.2836,05.7126,30,,,,RAS
06 mars 2008 ,Belledonne,Grésivaudan ,NE,45.28252,6.074538,,45.26346796263506,6.1056592749538465,1586.6521739130435,"des plaques sont parties (probablement hier) en versant ouest, par exemple au pied des cretes de la marmotane. Ailleurs : RAS"
06 mars 2008 ,Lauzière - Cheval Noir,Tarentaise ,SE,45.47123,6.41270,,,,,RAS
06 mars 2008 ,Vanoise,Tarentaise ,W,45.3811,06.7352,41,,,,néant
06 mars 2008 ,Bornes - Aravis,Borne-Fier ,NW,45.9231,06.4836,35,,,,"RAS, entre 15 cm sur le bas et 30 cm de neige fraiche poudreuse tombée sur le haut et qui repose sur un fond béton. Plus on descend et plus le fond est irrégulier. Présence de neige vitrifiée sur les bosses (a toutes les hauteurs), et de quelques endroits cartonnés sur le bas de la combe de Gd Crêt. "
06 mars 2008 ,Ecrins,"Haute Durance, Briançonnais ",NE,45.0108,6.4660,40,,,,"rien à signaler. les plaques à vent présentes sont bien stables, et laissent une neige dure dans le couloir."
06 mars 2008 ,Bornes - Aravis,Val d'Arly ,NE,45.8649,06.4886,45,,,,RAS
06 mars 2008 ,Bornes - Aravis,Val d'Arly ,E,45.8649,06.4886,45,,,,"RAS, mais de fortes accumulations dans le couloir."
06 mars 2008 ,Chablais - Faucigny,Faucigny ,SE,46.1441,06.5907,35,,,,"RAS pour le moment, mais les pentes sous le col du Foron ne me paraissent pas très sûres"
06 mars 2008 ,Chartreuse,Chartreuse ,W,45.2890,5.7664,30,45.28643799865561,5.778759944152887,1639.8253968253969,RAS
05 mars 2008 ,Préalpes de Grasse,,N,43.83139,6.95944,,,,,rien
20 janvier 2008 ,Beaufortain,Tarentaise ,S,45.5924,06.6708,35,,,,Rien ce jour sur la boucle
02 mars 2008 ,Beaufortain,Tarentaise ,S,45.6297,06.4799,40,,,,rien ce jour; les coulées surtout côté S - SW du Lavouet  datent des jours précédents
02 mars 2008 ,Mercantour - Alpes Maritimes Italiennes,Vésubie ,SW,44.11325,7.289471,35,,,,néant
26 fevrier 2008 ,Queyras - Alpes Cozie N,Queyras ,T,44.79265,6.90809,40,,,,RAS
27 fevrier 2008 ,Queyras - Alpes Cozie N,Queyras ,NW,44.69969,6.86596,35,,,,ras
25 fevrier 2008 ,Queyras - Alpes Cozie N,Queyras ,NE,44.65054,6.79287,40,,,,ras
24 fevrier 2008 ,Queyras - Alpes Cozie N,Queyras ,T,44.71893,6.90379,45,,,,ras
05 mars 2008 ,Préalpes de provence,,NW,44.51854,5.93674,,,,,RAS
03 mars 2008 ,Ecrins,Champsaur ,T,44.6628,06.3179,45,,,,RAS
04 mars 2008 ,Belledonne,Grésivaudan ,W,45.32596,6.047029,,,,,ras
04 mars 2008 ,Ecrins,Champsaur ,N,44.6628,06.3179,35,,,,néant aujourd'hui. Quelques anciennes coulées rive droite datant du redoux. Neige bien stable ce jour
03 mars 2008 ,Alpes Grées S,Maurienne ,SW,45.3738,07.0528,35,,,,RAS
01 mars 2008 ,Queyras - Alpes Cozie N,Ubaye ,S,44.58583,6.82528,42,44.595486946788654,6.805279825897945,2686.498447204968,RAS 
02 mars 2008 ,Cerces - Thabor - Mont Cenis,Maurienne ,N,45.1704,06.6515,40,,,,RAS
03 mars 2008 ,Belledonne,Grésivaudan ,SW,45.1870,5.8994,35,,,,RAS descente
01 mars 2008 ,Queyras - Alpes Cozie N,Queyras ,N,44.62375,6.80815,50,,,,RAS
03 mars 2008 ,Belledonne,Grésivaudan ,SE,45.24319,5.979609,35,,,,Rien vu bouger
02 mars 2008 ,Corse,,N,42.25456,9.069911,35,,,,Aucune
02 mars 2008 ,Belledonne,Grésivaudan ,NE,45.1870,5.8994,30,,,,RAS
01 mars 2008 ,Ecrins,Embrunais ,NE,44.6153,06.3335,40,,,,Une coulée sur la trace de montée aux Parias. RAS par ailleurs.
02 mars 2008 ,Belledonne,Grésivaudan ,T,45.24319,5.979609,40,,,,ras
02 mars 2008 ,Mercantour - Alpes Maritimes Italiennes,Vésubie ,S,44.11996,7.27398,40,,,,Aucune
02 mars 2008 ,Mont Blanc,Vallée de l'Arve ,NE,45.9784,6.9266,50,,,,RAS
02 mars 2008 ,Ubaye - Parpaillon - Alpes Cozie S,Embrunais ,N,44.48473,6.55066,48,,,,néant
02 mars 2008 ,Belledonne,Grésivaudan ,W,45.1870,5.8994,40,45.16994238723128,5.9110239393647745,1597.8564966313768,RAS
02 mars 2008 ,Ecrins,Embrunais ,T,44.6153,06.3335,38,,,,RAS
24 fevrier 2008 ,Alpes Grées N,Tarentaise ,T,45.4823,06.9473,40,,,,RAS
02 mars 2008 ,Bauges,Bauges ,NE,45.64251,6.063981,,,,,ras
01 mars 2008 ,Devoluy,Devoluy ,W,44.6682,05.9512,30,,,,RAS
02 mars 2008 ,Alpes Grées S,Tarentaise ,NW,45.4497,07.0098,35,,,,RAS
01 mars 2008 ,Ubaye - Parpaillon - Alpes Cozie S,Embrunais ,N,44.54781,6.62473,30,,,,RAS
29 fevrier 2008 ,Devoluy,Devoluy ,T,44.6656,05.9468,30,,,,RAS
02 mars 2008 ,Grandes Rousses - Arves,"Haute Durance, Briançonnais ",SE,45.0423,06.4177,,45.054106868055534,6.403056887499999,2413.547153048612,RAS
02 mars 2008 ,Devoluy,Devoluy ,T,44.6656,05.9468,40,,,,Aucune
02 mars 2008 ,Belledonne,Grésivaudan ,N,45.28252,6.074538,40,,,,Aucune
19 fevrier 2008 ,Ecrins,Oisans ,W,45.0101,06.2637,50,,,,néant
02 mars 2008 ,Valais W - Alpes Pennines W,Valais Central ,NW,46.04208,7.274901,,46.02865761449079,7.252615935064942,1898.0328092959671,RAS
02 mars 2008 ,Ecrins,Oisans ,NW,44.93719,6.25524,45,,,,Aucune
02 mars 2008 ,Belledonne,Maurienne ,N,45.28305,6.21008,45,,,,aucune sur l'itinéraire mais en surement plus limite en versant sud et est en dessous de 1800m
02 mars 2008 ,Ecrins,Oisans ,W,44.93258,6.29254,50,,,,RAS
02 mars 2008 ,Chartreuse,Chartreuse ,SW,45.2890,5.7664,,,,,RAS. Chamechaude encore bien enneigée. Grande Sure face E : on voit le sol mais cela doit encore passer.
02 mars 2008 ,Belledonne,Oisans ,E,45.13065,6.01986,40,,,,RAS
23 fevrier 2008 ,Mercantour - Alpes Maritimes Italiennes,Tinée ,N,44.28341,6.866776,,,,,RAS
24 fevrier 2008 ,Mercantour - Alpes Maritimes Italiennes,Tinée ,N,44.28341,6.866776,,,,,RAS
02 mars 2008 ,Bornes - Aravis,Borne-Fier ,NW,45.9231,06.4836,35,,,,"Aucune, mise à part de vieilles coulées. Neige néanmoins suspecte dans la traversée menant à la Tête de Paccaly (neige croûtée ou réelle plaque?)."
02 mars 2008 ,Belledonne,Maurienne ,T,45.37180,6.25654,35,,,,Ras
02 mars 2008 ,Mercantour - Alpes Maritimes Italiennes,Vésubie ,SW,44.11325,7.289471,35,,,,RAS
