date,massif,secteur,orientation,lat_depart,long_depart,pente_max,avg_lat,avg_long,avg_alt,activity
13 mars 2019 ,Mercantour - Alpes Maritimes Italiennes,Val Stura ,NE,44.4,6.92639,35,,,,"manteau neigeux stable, RAS"
18 mars 2019 ,Lauzière - Cheval Noir,Tarentaise ,N,45.47123,6.41270,30,45.467261495103266,6.387576419101878,1715.4545454545455,Petite coulée de surface dans le raide au départ du col. Puis RAS. Anciennes coulées de neige humides monstrueuses combe de la Valette du col Clément à la Biettaz
18 mars 2019 ,Bornes - Aravis,Borne-Fier ,NW,46.0018,06.5408,35,,,,RAS
17 mars 2019 ,Belledonne,Grésivaudan ,S,45.1870,5.8994,30,,,,"ras le jour même, mais des coulées de purge de neige lourde des jours passés, plus quelques chutes de pierre un peu avant le col de la pra dans la traversée au dessus du lac, certainement dues a la harde de chamois qu'on a observé sur le retour au même endroit"
16 mars 2019 ,Mercantour - Alpes Maritimes Italiennes,Vésubie ,SW,44.11325,7.289471,35,,,,RAS
16 mars 2019 ,Ubaye - Parpaillon - Alpes Cozie S,Embrunais ,N,44.48473,6.55066,35,44.46073121807226,6.546364778313257,2216.5542168674697,Rien observé
17 mars 2019 ,Ecrins,"Haute Durance, Briançonnais ",E,44.8552,06.4803,30,,,,Rien vu en dehors de purges sur des pentes sud très raides.
16 mars 2019 ,Ecrins,Champsaur ,E,44.6628,06.3179,40,,,,"RAS mais: petite purge de la veille en versant E, et de grosses accumulations mais apparemment pas très étendues en toutes orientations (sauf Sud)."
17 mars 2019 ,Beaufortain,Tarentaise ,W,45.5590,06.5241,35,45.560727082974424,6.54609181403697,1837.3541960697723,RAS
17 mars 2019 ,Queyras - Alpes Cozie N,Embrunais ,N,44.5976,6.6967,35,,,,RAS
17 mars 2019 ,Chartreuse,Chartreuse ,W,45.2890,5.7664,30,45.28643799865561,5.778759944152887,1639.8253968253969,RAS à part le chantier impressionnant laissé par la grosse avalanche...
17 mars 2019 ,Vanoise,Maurienne ,W,45.2513,06.4721,30,45.250792902866756,6.508581243507588,2299.841099448565,"manteau neigeux étonnament stable, neige compacte , rien ne bouge."
17 mars 2019 ,îles Lofoten/Vesterolen,,E,68.21699,14.44479,35,,,,RAS
17 mars 2019 ,Préalpes de Digne,Haut-Verdon ,S,44.29611,6.56972,35,,,,Rien de récent
16 mars 2019 ,Ecrins,Embrunais ,NE,44.60694,6.33833,,,,,RAS sur tout l'itinéraire.
17 mars 2019 ,Mercantour - Alpes Maritimes Italiennes,Vésubie ,S,44.11996,7.27398,35,,,,RAS
17 mars 2019 ,Alpes Grées N,Val d'Aoste ,W,45.56881,7.117196,50,,,,ras
12 mars 2019 ,Mercantour - Alpes Maritimes Italiennes,Val Stura ,N,44.4,6.92639,30,,,,RAS
17 mars 2019 ,Cerces - Thabor - Mont Cenis,"Haute Durance, Briançonnais ",S,44.9400,06.5887,,,,,RAS
17 mars 2019 ,Devoluy,Devoluy ,E,44.6656,05.9468,35,,,,ras
17 mars 2019 ,Valais W - Alpes Pennines W,Valais Central ,W,46.19626,7.458,35,46.19080537449393,7.477367350202427,2213.4898785425103,"RAS itinéraire qui parait tres sur , des locaux nous disent que la montée jusqu au point 2730m est une grande classiquedu coin avec souvent de la bonne neige "
17 mars 2019 ,Belledonne,Grésivaudan ,NE,45.28252,6.074538,50,,,,"ras, petit sluff. Gros spindrifts rive droite. "
17 mars 2019 ,Massif Central,,NE,45.54061,2.861595,40,,,,nulle
17 mars 2019 ,Ubaye - Parpaillon - Alpes Cozie S,Ubaye ,NE,44.35662,6.686725,35,,,,Rien observé de récent
17 mars 2019 ,Chablais - Faucigny,,SW,,,30,,,,aucune la pointe est verte 
17 mars 2019 ,Belledonne,Grésivaudan ,W,45.1870,5.8994,40,45.16994238723128,5.9110239393647745,1597.8564966313768,RAS
17 mars 2019 ,Chartreuse,Grésivaudan ,SW,45.29762,5.84279,50,,,,RAS
17 mars 2019 ,Ubaye - Parpaillon - Alpes Cozie S,Ubaye ,T,44.35662,6.686725,45,,,,"RAS, vieilles purges seulement"
17 mars 2019 ,Belledonne,Grésivaudan ,N,45.2620,6.0481,35,45.249869843599974,6.051491963400001,2040.8326352573959,"Rien vu mais la grande pente sous le sommet est bien chargée, avec sous la surface dure portante une grosse quantité de neige sans consistance (type sucre)"
17 mars 2019 ,Jura,,SE,46.24784,5.957915,25,,,,"une coulée lourde dans la face est du couloir sous citernes, sinon RAS"
17 mars 2019 ,Grandes Rousses - Arves,Maurienne ,SE,45.26546,6.29675,30,,,,"RAS, ça a bien plâtré "
16 mars 2019 ,Bornes - Aravis,Faucigny ,NW,46.0296,06.5727,50,,,,Néant...                                                                        
16 mars 2019 ,Grandes Rousses - Arves,Maurienne ,E,45.2058,06.4194,30,,,,RAS
16 mars 2019 ,Lauzière - Cheval Noir,Maurienne ,SW,45.3781,6.3514,,,,,"RAS, les pentes de Praz Contaz risquent de partir en avalanches de fond avec la température élevée"
