date,massif,secteur,orientation,lat_depart,long_depart,pente_max,avg_lat,avg_long,avg_alt,activity
10 janvier 2014 ,Mercantour - Alpes Maritimes Italiennes,Val Stura ,NE,44.2897,7.07322,35,,,,Néant
10 janvier 2014 ,Ecrins,Champsaur ,NE,44.6227,06.2279,40,,,,"ras tout a coulé en face N, boulettes non solidifiées, skiables en fond de combe NE"
10 janvier 2014 ,Mercantour - Alpes Maritimes Italiennes,Haut-Var ,SW,44.235,6.75222,30,,,,"RAS, neige bien tassée."
10 janvier 2014 ,Ecrins,Champsaur ,N,44.6718,06.3242,30,44.65988181206158,6.332875964841735,2120.2899914456802,RAS sans compter la grosse avalanche qui a dû partir avec la pluie
10 janvier 2014 ,Devoluy,Devoluy ,E,44.6656,05.9468,35,,,,ras
10 janvier 2014 ,Ecrins,Champsaur ,S,44.7471,06.1226,45,,,,Ras Je suis descendu à la bonne heure donc pas de dégel profond !
10 janvier 2014 ,Ubaye - Parpaillon - Alpes Cozie S,Ubaye ,SW,44.52468,6.796900,36,,,,RAS
10 janvier 2014 ,Grandes Rousses - Arves,"Haute Durance, Briançonnais ",SE,45.0423,06.4177,,45.054106868055534,6.403056887499999,2413.547153048612,RAS
10 janvier 2014 ,Belledonne,Grésivaudan ,SE,45.24319,5.979609,35,,,,"RAS aujourd'hui (sauf quelques ""escargots"" charnus déclenchés à la descente de Bédina), mais résidus de petites coulées ici ou là au soleil (et cassures récentes visibles à l'ombre). Ca semblait stable (fond dur au dessus de 2000m) malgré l'heure tardive (départ à 10h20 - retour à 15h00)."
10 janvier 2014 ,Mercantour - Alpes Maritimes Italiennes,Vésubie ,T,44.11325,7.289471,30,,,,Ras.
10 janvier 2014 ,Ecrins,Champsaur ,N,44.6628,06.3179,35,,,,"rien de neuf, grosses avalanches recouvertes de poudre, venant de l'Aiguille, de Malamorte… face E de l'Autane à moitié purgée (il en reste…)"
09 janvier 2014 ,Ecrins,Embrunais ,NE,44.60694,6.33833,,,,,Aucune 
10 janvier 2014 ,Belledonne,Grésivaudan ,N,45.14037,5.88762,30,45.13242081818182,5.90074718181818,1867.030303030303,"RAS,  attention aux cailloux"
08 décembre 2013 ,Alpes Bernoises W,Simmental ,NE,46.41623,7.438645,30,,,, nulle
15 décembre 2013 ,Alpes Bernoises W,Simmental ,N,46.4270,7.4762,40,,,,nulle
10 janvier 2014 ,Ecrins,"Haute Durance, Briançonnais ",E,44.7097,06.5693,30,,,,"RAS sur la randonnées, quelques purges dans les faces sud pentues"
10 janvier 2014 ,Belledonne,Grésivaudan ,W,45.14037,5.88762,45,,,,vieilles purges des jours précédents sur toutes les orientations
09 janvier 2014 ,Beaufortain,Tarentaise ,S,45.5590,06.5241,25,,,,neant
09 janvier 2014 ,Chartreuse,Chartreuse ,E,45.30942,5.768852,30,45.31230098191933,5.7580955931014906,1548.1341463414635,ras
09 janvier 2014 ,Lauzière - Cheval Noir,Tarentaise ,N,45.47123,6.41270,30,45.467261495103266,6.387576419101878,1715.4545454545455,aucune d'aujourd'hui.
09 janvier 2014 ,Ecrins,Champsaur ,SE,44.5769,06.2783,37,,,,RAS
09 janvier 2014 ,Grandes Rousses - Arves,Maurienne ,SE,45.1212,06.4173,20,,,,"Pas d'activité récente, des traces de rupture de plaque sur le versant de gauche en montant."
09 janvier 2014 ,Beaufortain,Tarentaise ,S,45.5924,06.6708,35,,,,RAS
