date,massif,orientation,secteur,lat_depart,lon_depart,pente,activite
03 mars 2019 ,Ecrins,T,"Haute Durance, Briançonnais ",44.9874,6.4816,40°-45° sur 500 m,aucune
03 mars 2019 ,Belledonne,W,Grésivaudan ,45.1870,5.8994,passages 35°,RAS
03 mars 2019 ,Belledonne,W,Grésivaudan ,45.32596,6.047029,Faible,RAS
03 mars 2019 ,Ecrins,N,Champsaur ,44.6937,06.3706,400 m à 35° avec passages à 40-45°,ras sur notre parcours
03 mars 2019 ,Belledonne,W,Grésivaudan ,45.1870,5.8994,40°/200,RAS
03 mars 2019 ,Chablais - Faucigny,N,Chablais ,46.2507,06.7215,35°,RAS
03 mars 2019 ,Belledonne,N,Grésivaudan ,45.1870,5.8994,"40°/150 m et plus raide sur 20m à l'entrée, 35°/200m ",Ras ce jour... Quelques escargots dans les pentes chaudes
03 mars 2019 ,Beaufortain,N,Beaufortain ,45.7072,06.4630,30°/100m,rien vu
02 mars 2019 ,Haut Giffre - Aiguilles Rouges,NE,Vallée de l'Arve ,46.0048,06.6903,passage 45,RAS - Attention aux endroits soufflés
02 mars 2019 ,Préalpes de Digne,SE,Haut-Verdon ,44.29611,6.56972,35°,RAS
02 mars 2019 ,Ecrins,T,Champsaur ,44.7379,06.2479,44°/200 m ,rien
02 mars 2019 ,Bornes - Aravis,T,Borne-Fier ,45.8373,06.4159,"43°/100m, 39°/250m",RAS quelques vieilles coulées
02 mars 2019 ,Chartreuse,T,Chartreuse ,45.2817,05.7199,35°/300m,Ras ce jour
02 mars 2019 ,Ortles,NE,,46.42055,10.55541,Petit 40 au départ du col sur 10 metres,ras
02 mars 2019 ,Ubaye - Parpaillon - Alpes Cozie S,NE,Embrunais ,44.57074,6.68447,40 -45° ,ras
02 mars 2019 ,Chartreuse,E,Chartreuse ,45.4093,5.8308,42° sur 300m,RAS
02 mars 2019 ,Cerces - Thabor - Mont Cenis,NE,"Haute Durance, Briançonnais ",45.01942,6.606645,"40/45° sur 200m, pass. à 50°",rien de récent
02 mars 2019 ,Belledonne,NE,Grésivaudan ,45.3936,6.1279,"45° sur 70m, 40° sur 150m",Les 10 cm tombés sont différemment répartis selon les orientations avec des accumulations principalement sous le vent en orientation SE ou E. Très stable sur tout le parcours. Pas de coulées  naturelles et pas de déclenchement même en pentes 30-35°.
02 mars 2019 ,Queyras - Alpes Cozie N,N,"Haute Durance, Briançonnais ",44.85518,6.72729,35° Maxi,RAS
02 mars 2019 ,Vanoise,NW,Tarentaise ,45.3682,06.5846,30° maxi,"RAS, petite couche de fraîche, au plus 10 cm. de poudre sur fond dur, un peu soufflée par endroit."
02 mars 2019 ,Chablais - Faucigny,N,Chablais ,46.2093,06.5761,35, rien de particulier sur cet itinéraire
02 mars 2019 ,Bornes - Aravis,E,Faucigny ,46.0455,06.4436,large et tranquille,RAS
02 mars 2019 ,Ecrins,SE,"Haute Durance, Briançonnais ",44.7588,6.5291,30° maxi,ras
01 mars 2019 ,Queyras - Alpes Cozie N,SE,"Haute Durance, Briançonnais ",44.85518,6.72729,35° sur 100m,RAS
01 mars 2019 ,Vercors,SE,Trièves Dévoluy ,44.8596,05.5588,45°/150m,"RAS au niveau des avalanches, sinon neige dure à la montée et transfo sur les versants sud est."
01 mars 2019 ,Massif Central,T,,44.90611,4.15722,20/30°,RAS
01 mars 2019 ,Ortles,NE,,46.42055,10.55541,35° sur 200m,rien vu surtout après 9.30
01 mars 2019 ,Queyras - Alpes Cozie N,S,"Haute Durance, Briançonnais ",44.72243,6.626129,"40° sur 50m, puis 35° sur 200m",RAS
01 mars 2019 ,Ecrins,E,"Haute Durance, Briançonnais ",44.9011,6.4929,Passages à 35°,rien
01 mars 2019 ,Ecrins,NW,Champsaur ,44.6628,06.3179,40° sur 150m,rien de nouveau
01 mars 2019 ,Belledonne,E,Oisans ,45.20321,6.04034,court 40° en haut,rien de rien. Pas une trace de vieille coulée. Sauf au milieu du village où un truc énorme a traversé la route (mais sans doute il y a bien longtemps)
28 fevrier 2019 ,Haut Giffre - Aiguilles Rouges,N,Faucigny ,46.04833,6.78028,40/45°,RAS
28 fevrier 2019 ,Ubaye - Parpaillon - Alpes Cozie S,SE,Ubaye ,44.45144,6.844782,40/45° sur 150m,RAS
28 fevrier 2019 ,Ecrins,N,Oisans ,45.01769,6.04073,Long 35°,RAS
28 fevrier 2019 ,Lauzière - Cheval Noir,NW,Maurienne ,45.5322,06.3591,moyenne,Quelques purges en orientations S.
28 fevrier 2019 ,Ubaye - Parpaillon - Alpes Cozie S,T,Ubaye ,44.5930,06.8424,37/200 m bas du vallon de Teste,Ras
28 fevrier 2019 ,Vercors,T,Trièves Dévoluy ,44.8596,05.5588,30° max,RAS
28 fevrier 2019 ,Ecrins,E,"Haute Durance, Briançonnais ",45.0108,6.4660,35° maxi,RAS
28 fevrier 2019 ,Lauzière - Cheval Noir,SE,Tarentaise ,45.4991,06.4317,35° sur le haut,RAS
28 fevrier 2019 ,Mont Blanc,N,Vallée de l'Arve ,45.8899,6.7889,40-45 sur 500m,ras
28 fevrier 2019 ,Queyras - Alpes Cozie N,T,Queyras ,44.71893,6.90379,"40° sur 100m, passages à 45°",RAS
28 fevrier 2019 ,Mont Blanc,NW,Vallée de l'Arve ,45.79597,6.71743,42°max,RAS  quelques coulées en versant sud devant la Balme
28 fevrier 2019 ,Devoluy,SE,Devoluy ,44.6719,05.8567,35° sur 100m,RAS
28 fevrier 2019 ,Belledonne,T,Maurienne ,45.31620,6.25053,court 40°,néant
28 fevrier 2019 ,Vercors,E,Trièves Dévoluy ,45.0189,05.6130,40 degrés max,ras
