Id,Observateur,Pays,Massif,Sommet/secteur,itinéraire,Orientation,Date,Heure,Description,Decl a distance,Distance décl,Caractéristique,Dénivelé,Origine principale,Origine secondaire,Alti départ,Commentaire zone départ,Epaisseur rupture,Epaisseur max rupture,Longueur rupture,Ecoulement principal,Commentaire type écoulement,Alti arrivée,Commentaire zone arrivée,Qualite neige,Commentaire qualité neige,Commentaire qualité transportée,Risque MF,latitude,longitude
1529599047300,Duclos Alain,France,Haute Maurienne,Col de l'Iseran - Col de l'Iseran - Maurienne,Rocher des Hirondelles,SE,20/06/2018,,"Glissement d'une imposante plaque de fond sur la route durant la nuit du 20 au 21, après qu'une partie se soit déclenchée vers 18:00 le 20. La route était encore fermée à la circulation, à cause de ce risque. Elle le reste pour l'instant car une plaque similaire mais plus volumineuse pourrait encore traverser la chaussée dans le même secteur (environ 100 m linéaires en aval de celle ci).
 <a href=""https://youtu.be/iAbHoIN8_E0"">voir ici la vidéo du dégagement par l'engin</a> - Enjeux : Rd 902 Bonneval - Iseran (Traversé)",false,0,,0,Réchauffement,,2360,,0,0,0,Dense,Blocs très durs,2310,,Humide,,,Inconnu,45.393196,7.043052
1528810866223,Alain Auclair,Italie,Valais E - Alpes Pennines E,,Face Nord Est,NE,10/06/2018,08:45:00,"Apres le passage de 6 ou 7 skieurs le suivant a sans doute déclenché la plaque qui l'emportera, il sera enseveli dans le dépôt, il sera retrouvé sans vie. une quinzaine de personne devaient skier ou surfer la face ce jour les derniers seront récupérés en hélico.
""La neige de la semaine précédente humide en profondeur, la nuit fut étoilée seulement aux dernières heures.
La neige plutôt poudreuse la veille avait chauffée donc lors de la montée assez béton en surface mais après 1h30 de soleil très agréable à skier.""",false,0,,0,Skieur rando.  descente,,4200,,0,0,0,,,3650,,Humide,,,Inconnu,46.1052084155469,7.86934718897101
1528319607043,TDL Savoie,France,Haute Maurienne,Col de l'Iseran - Col de l'Iseran - Maurienne,,S,06/06/2018,15:00,"Glissement d'une grosse plaque de fond sur la chaussée fermée à la circulation. L'instabilité potentielle avait été remarquée pendant les travaux de déneigement, lesquels ont été interrompus pour plusieurs jours.
Tentative de déclenchement artificiel en sciant la base de la plaque avec un câble  à 11:00, sans effet immédiat. Départ spontané entre 14:00 et 16:00. - Enjeux : Rd 902 Bonneval - Iseran (Traversé)",false,0,Plaque de fond,0,,,0,,0,0,0,Dense,Blocs durs,2490,,Humide,,,Inconnu,45.401135,7.039881
1527705570620,Duclos Alain,France,Lauzière,Col de la Madeleine,Couloir des Ardoisières,NE,30/05/2018,08:00,"Gros glissement de plaque de fond, qui s'était déjà fracturée quelques heures auparavant. La chaussée était restée fermée préventivement pour risque d'avalanche. - Enjeux : RD 213 (Traversé)",false,0,Plaque de fond,0,,,1930,,0,0,0,Dense,Gros blocs de neieg dure,1830,,Humide,,,Inconnu,45.445261,6.377821
1527705283128,Duclos Alain,France,Lauzière,Col de la Madeleine,Couloir des Ardoisières,NE,29/05/2018,,Avalanche d'ampleur modeste probablement descendue dans la nuit du 29 au 30. La chaussée était restée fermée préventivement pour risque d'avalanche. - Enjeux : RD 213 (Atteint),false,0,Plaque de fond,0,,,1920,,0,0,0,Dense,Blocs de neige dure,1857,,Humide,,,Inconnu,45.445261,6.377821
1527280012891,Bourgeois Gaëlle,France,Beaufortain,Lac de Roselend - Roc du Biolley,Roc du Biolley,NE,25/05/2018,16:00,"Déclenchement préventif pour la sécurisation de l'accès au Cormet de Roselend, depuis Beaufort - Enjeux : RD 925 (Traversé)",false,0,Plaque de fond,0,Minage de corniche,Réchauffement,1845,,150,0,0,Dense,Surtout des blocs de neige très dure,1777,Quelques blocs dans le torrent,Humide,,,Inconnu,45.694078,6.664507
1527442121127,Duclos Alain,France,Haute Maurienne,Bonneval sur Arc - Col de l'Iseran - Maurienne,Col de l'Iseran - Entre pont de L'Oulietta et tunnel,S,25/05/2018,,"Glissement d'une plaque de fond de gros volume, certainement entre le vendredi et mon passage le samedi matin. - Enjeux : Rd 902 Bonneval - Iseran (Traversé)",false,0,Plaque de fond,0,Réchauffement,,2550,,0,0,0,Dense,Blocs durs,2350,,Humide,,,Inconnu,45.401316,7.041288
1527193818320,Bourgeois Gaëlle,France,Maurienne,Col du Galibier - Col du Galibier,,NW,24/05/2018,16:45,Minage de corniche pour la sécurisation de l'accès au Col du Galibier et au tunnel - Enjeux : RD 902 Bonnenuit - Galibier (Traversé),false,0,,0,Minage de corniche,Réchauffement,2675,,100,0,0,Dense,,2560,,Humide,,,Inconnu,45.065013,6.410727
1527068809010,Bourgeois Gaëlle,France,Maurienne,Saint Colomban des Villards,Col du Glandon,NE,22/05/2018,16:15,"Déclenchement préventif pour la sécurisation des travaux de déneigement pour l'accès au col côté Savoie. Corniche bien purgée, mais écoulement d'ampleur modeste. Neige peu mobilisable dans la face (humide mais très dense, type névé). - Enjeux : RD 927",false,0,,0,Minage de corniche,,1940,,150,300,0,Dense,Surtout des blocs,1766,,Humide,,,Inconnu,45.240998,6.170293
1526896610876,Presse RTS.CH,,,,"Col de Klausen, Canton d'Uri (Suisse)",T,20/05/2018,14:00,"Une avalanche s'est déclenchée dimanche vers 14h00 au col du Klausen, dans le canton d'Uri. Trois personnes ont été blessées et deux voitures ont été emportées.

Le col a été fermé, a indiqué la police cantonale uranaise, confirmant une information de la radio Südostschweiz.

Des photos de lecteurs publiées sur le site Blick.ch montrent l'ampleur des dégâts: les masses de neige qui bloquent la chaussée et les deux voitures endommagées, qui sont sorties de la route, à 200 mètres du sommet du col.

Localisation imprécise.

Photos : ""Presse RTS.CH"" et ""Blick LESER Reporter""",false,0,,0,,,0,,0,0,0,,,0,,,,,Inconnu,46.868193,8.855509
